bbg_name,isin,ric_attempt,resolution_method
WBA US,US9314271084,WBA.OQ,rule
WFC US,US9497461015,WFC.O@RIC,rule
WMT US,US9311421039,WMT.OQ,rule
CAC FR,FR0003500008,.FCHI@RIC,rule
CCMP US,US6311011026,.IXIC,rule
DAX DE,DE0008469008,.GDAXI@RIC,rule
DJI US,US2605661048,.DJI,rule
EUNL NL,IE00B4L5Y983,EUNL.DE,rule
ES52 US,US46434V7509,.SPX,rule
ESX5 FE,EU0009658145,.STOXX50E@RIC,rule
EUROSTOXX FN,EU0009658145,.STOXX50E@RIC,rule
EU50 US,EU0009658145,.STOXX50E,rule
EUX.PA FR,FR0009690721,EUX.PA@RIC,rule
FTMIB IM,IT0003465736,.FTMIB@RIC,rule
HSI HK,HK0000004322,.HSI@RIC,rule
IBEX ES,ES0148396007,.IBEX@RIC,rule
JKSE ID,ID1000113400,.JKSE,rule
KOSPI KR,KR7005930003,.KS11,rule
N225 JP,JP9010C00002,.N225@RIC,rule
NSEI IN,INE009A01021,.NSEI@RIC,rule
OMX SE,SE0000337842,.OMXS30@RIC,rule
SPX US,US78378X1072,.SPX@RIC,rule
SSEC CN,CNE000000PX1,.SSEC,rule
STOXX50E EU,EU0009658145,.STOXX50E@RIC,rule
UKX GB,GB0001383545,.FTSE@RIC,rule
ASMI NL,NL0010273215,ASMI.AS@RIC,rule
ADYEN NA,NL0012969182,ADYEN.AS@RIC,rule
ADS GR,DE000A1EWWW0,ADSGn.DE@RIC,rule
AI FP,FR0000120073,AIRP.PA,rule
AIR FP,NL0000235190,AIR.PA@RIC,rule
ALV GR,DE0008404005,ALVG.DE@RIC,rule
BAS GR,DE000BASF111,BASFn.DE@RIC,rule
BAYN GR,DE000BAY0017,BAYGn.DE@RIC,rule
BMW GR,DE0005190003,BMWG.DE@RIC,rule
BN FP,FR0000120644,DANO.PA,rule
BNP FP,FR0000131104,BNPP.PA,rule
CS FP,FR0000120628,AXAF.PA,rule
DB1 GR,DE0005810055,DB1Gn.DE@RIC,rule
DG FP,FR0000125486,VIE.PA,rule
DHL GR,DE0005552004,DHLn.DE,rule
DSY FP,FR0014003TT8,DAST.PA,rule
DTE GR,DE0005557508,DTEGn.DE@RIC,rule
EL FP,FR0000121667,ESLX.PA,rule
ENEL IM,IT0003128367,ENEI.MI,rule
ENI IM,IT0003132476,ENI.MI@RIC,rule
ENGI FP,FR0010208488,ENGIE.PA,rule
IBE SM,ES0144580Y14,IBE.MC@RIC,rule
IFX GR,DE0006231004,IFXGn.DE@RIC,rule
INGA NA,NL0011821202,INGA.AS@RIC,rule
ISP IM,IT0000072618,ISP.MI@RIC,rule
ITX SM,ES0148396007,ITX.MC@RIC,rule
KER FP,FR0000121485,PRTP.PA,rule
MBG GR,DE0007100000,MBGn.DE@RIC,rule
MC FP,FR0000121014,LVMH.PA@RIC,rule
MUV2 GR,DE0008430026,MUVGn.DE@RIC,rule
NESTE FH,FI0009013296,NESTE.HE@RIC,rule
