date,from_maturity,to_maturity,fwdCofDiv100pct,fwdCofDivMarket
2025-01-15,2Y,3M,0.0082515625,0.00375609375
2025-01-15,2Y,6M,0.007586448087431694,0.004159143897996357
2025-01-15,2Y,1Y,0.00851,0.00411
2025-01-22,6M,3M,0.013649560439560438,0.0033638461538461535
2025-01-22,1Y,3M,0.008299272727272728,0.003914
2025-01-22,1Y,6M,0.005653206521739131,0.004186086956521741
2025-01-22,2Y,3M,0.008596250000000001,0.0042653125
2025-01-22,2Y,6M,0.007758633879781423,0.004414735883424408
2025-01-22,2Y,1Y,0.008820000000000001,0.004529999999999999
2025-01-29,6M,3M,0.012034065934065936,0.0021132967032967036
2025-01-29,1Y,3M,0.008751818181818182,0.004480181818181818
2025-01-29,1Y,6M,0.007128532608695653,0.005650760869565218
2025-01-29,2Y,3M,0.008921875000000001,0.00466828125
2025-01-29,2Y,6M,0.008406010928961748,0.005091785063752277
2025-01-29,2Y,1Y,0.009049999999999999,0.004809999999999999
2025-02-05,6M,3M,0.01322586956521739,0.004374891304347825
2025-02-05,1Y,3M,0.008928478260869566,0.004881594202898552
2025-02-05,1Y,6M,0.0067797826086956545,0.005134945652173915
2025-02-05,2Y,3M,0.00929946957878315,0.005159703588143526
2025-02-05,2Y,6M,0.008641493624772312,0.005291220400728598
2025-02-05,2Y,1Y,0.009579999999999998,0.005370000000000001
2025-02-12,6M,3M,0.012784891304347824,0.003911195652173911
2025-02-12,1Y,3M,0.009299528985507247,0.005163550724637682
2025-02-12,1Y,6M,0.007556847826086958,0.0057897282608695665
2025-02-12,2Y,3M,0.009538954758190329,0.005246942277691107
2025-02-12,2Y,6M,0.008995009107468123,0.005470783242258651
2025-02-12,2Y,1Y,0.00972,0.00531
2025-02-19,6M,3M,0.006328913043478258,0.0041422826086956535
2025-02-19,1Y,3M,0.006892463768115941,0.004967681159420289
2025-02-19,1Y,6M,0.007174239130434784,0.005380380434782608
2025-02-19,2Y,3M,0.008172262090483618,0.004860811232449298
2025-02-19,2Y,6M,0.008481165755919855,0.004981220400728598
2025-02-19,2Y,1Y,0.00914,0.00478
2025-02-26,6M,3M,0.006326739130434784,0.004477391304347827
2025-02-26,1Y,3M,0.006846702898550725,0.005034130434782608
2025-02-26,1Y,6M,0.007106684782608696,0.0053124999999999995
2025-02-26,2Y,3M,0.008300608424336975,0.005060249609984399
2025-02-26,2Y,6M,0.008631384335154828,0.005157923497267759
2025-02-26,2Y,1Y,0.0094,0.0050799999999999994
2025-03-05,6M,3M,0.005400000000000004,0.0038799999999999993
2025-03-05,1Y,3M,0.0068778388278388294,0.00502054945054945
2025-03-05,1Y,6M,0.007629005524861878,0.005600276243093922
2025-03-05,2Y,3M,0.008234952978056428,0.004980188087774296
2025-03-05,2Y,6M,0.008712637362637363,0.0051655677655677665
2025-03-05,2Y,1Y,0.009250000000000001,0.00495
2025-03-12,6M,3M,0.005559999999999996,0.004409999999999999
2025-03-12,1Y,3M,0.006948901098901098,0.004956739926739928
2025-03-12,1Y,6M,0.0076548618784530375,0.005234640883977902
2025-03-12,2Y,3M,0.008562852664576803,0.0051130721003134795
2025-03-12,2Y,6M,0.009068827838827839,0.005231538461538462
2025-03-12,2Y,1Y,0.009770000000000001,0.005229999999999999
2025-03-19,6M,3M,0.00503,0.00398
2025-03-19,1Y,3M,0.0063142490842490835,0.004255018315018316
2025-03-19,1Y,6M,0.006967016574585634,0.004394806629834255
2025-03-19,2Y,3M,0.0079594670846395,0.004521034482758621
2025-03-19,2Y,6M,0.008453076923076924,0.004612197802197802
2025-03-19,2Y,1Y,0.009190000000000002,0.004719999999999999
2025-03-26,6M,3M,0.006220000000000001,0.0053100000000000005
2025-03-26,1Y,3M,0.0064090842490842495,0.004241575091575092
2025-03-26,1Y,6M,0.0065051933701657455,0.0036985082872928177
2025-03-26,2Y,3M,0.008028652037617556,0.004543887147335423
2025-03-26,2Y,6M,0.008333406593406594,0.0044147985347985355
2025-03-26,2Y,1Y,0.00924,0.00477
2025-04-02,6M,3M,0.005249456521739129,0.0046464130434782595
2025-04-02,1Y,3M,0.007431277372262773,0.005117299270072993
2025-04-02,1Y,6M,0.008534175824175823,0.005355329670329672
2025-04-02,2Y,3M,0.008041737089201879,0.004513364632237871
2025-04-02,2Y,6M,0.008511371115173676,0.004490987202925046
2025-04-02,2Y,1Y,0.008500000000000002,0.004059999999999999
2025-04-09,6M,3M,0.0032075000000000016,0.0036599999999999996
2025-04-09,1Y,3M,0.007354160583941606,0.004675729927007299
2025-04-09,1Y,6M,0.009450274725274726,0.005189175824175825
2025-04-09,2Y,3M,0.007848732394366197,0.004238341158059468
2025-04-09,2Y,6M,0.008629341864716636,0.004335612431444241
2025-04-09,2Y,1Y,0.00822,0.00391
